제목
"물고기는 존재하지 않는다 : 상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기"
코스모스 : 특별판
이기적 유전자 The Selfish Gene
세상은 실제로 어떻게 돌아가는가 : 우리의 문명을 정확하게 이해하기 위한 과학적 접근
"[예스리커버] 정재승의 과학콘서트 : 복잡한 세상 명쾌한 과학(개정증보2판, 양장)"
죽음의 역사 : 죽음은 어떻게 우리의 세상을 변화시켰는가?
"다정한 것이 살아남는다 : 친화력으로 세상을 바꾸는 인류의 진화에 관하여(10만부 기념 스페셜 에디션, 저자 친필 사인 인쇄본)"
"진짜 하루만에 이해하는 반도체 산업 : 챗GPT 시대, 기회는 반도체 산업에 있습니다!"
천문학자는 별을 보지 않는다(독서 기록 스티키 노트 (포인트 차감))
우리가 운명이라고 불렀던 것들 : 그 모든 우연이 모여 오늘이 탄생했다
떨림과 울림 : 물리학자 김상욱이 바라본 우주와 세계 그리고 우리
"당신이 우주다 : 나는 무엇인가, 그리고 왜 이것이 중요한가"
이토록 뜻밖의 뇌과학 : 뇌가 당신에 관해 말할 수 있는 7과 1/2가지 진실(양장)
종의 기원(양장)-드디어 다윈 01
피타고라스 생각 수업 : 수학자는 어떻게 발견하고 분석하고 활용할까
"사이코패스 뇌과학자 : 괴물은 태어나는가, 만들어지는가(양장)"
괴롭힘은 어떻게 뇌를 망가뜨리는가 : 최신 신경과학이 밝히는 괴롭힘의 상처를 치유하는 법
위험한 과학책 : 지구 생활자들의 엉뚱한 질문에 대한 과학적 답변(양장)
박문호 박사의 빅히스토리 공부 : 우주의 탄생부터 인간 의식의 출현까지(양장)
"미적분의 쓸모 : 보통 사람들도 이해하는 새로운 미래의 언어(양장, 개정증보판)"
"나를 나답게 만드는 것들 : 유전자, 세균, 그리고 나를 나답게 만드는 특이한 힘들에 관하여"
노화의 종말 : 하버드 의대 수명 혁명 프로젝트
세상은 온통 화학이야 : 유튜브 스타 과학자의 하루
